"filename", "language", "Go Module File", "Makefile", "Go Checksum File", "Markdown", "MS SQL", "Docker", "Go", "HTTP", "YAML", "comment", "blank", "total"
"/home/ali/repos/Automation/internal/core/familyinfo/service.go", "Go", 0, 0, 0, 0, 0, 0, 65, 0, 0, 3, 10, 78
"/home/ali/repos/Automation/internal/core/gender/model.go", "Go", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"/home/ali/repos/Automation/internal/core/gender/repo.go", "Go", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 10, 50
"/home/ali/repos/Automation/internal/core/gender/seed.go", "Go", 0, 0, 0, 0, 0, 0, 39, 0, 0, 7, 7, 53
"/home/ali/repos/Automation/internal/core/gender/service.go", "Go", 0, 0, 0, 0, 0, 0, 54, 0, 0, 3, 11, 68
"/home/ali/repos/Automation/internal/core/hospitaldispatch/model.go", "Go", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"/home/ali/repos/Automation/internal/core/hospitaldispatch/repo.go", "Go", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 11, 49
"/home/ali/repos/Automation/internal/core/hospitaldispatch/seed.go", "Go", 0, 0, 0, 0, 0, 0, 39, 0, 0, 1, 7, 47
"/home/ali/repos/Automation/internal/core/hospitaldispatch/service.go", "Go", 0, 0, 0, 0, 0, 0, 67, 0, 0, 4, 18, 89
"/home/ali/repos/Automation/internal/core/hospitalvisit/model.go", "Go", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"/home/ali/repos/Automation/internal/core/hospitalvisit/repo.go", "Go", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 11, 49
"/home/ali/repos/Automation/internal/core/hospitalvisit/seed.go", "Go", 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 6, 37
"/home/ali/repos/Automation/internal/core/hospitalvisit/service.go", "Go", 0, 0, 0, 0, 0, 0, 57, 0, 0, 4, 11, 72
"/home/ali/repos/Automation/internal/core/medicalprofile/model.go", "Go", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"/home/ali/repos/Automation/internal/core/medicalprofile/repo.go", "Go", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 12, 60
"/home/ali/repos/Automation/internal/core/medicalprofile/seed.go", "Go", 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 7, 49
"/home/ali/repos/Automation/internal/core/medicalprofile/service.go", "Go", 0, 0, 0, 0, 0, 0, 70, 0, 0, 4, 19, 93
"/home/ali/repos/Automation/internal/core/medicines/model.go", "Go", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/ali/repos/Automation/internal/core/medicines/repo.go", "Go", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 9, 47
"/home/ali/repos/Automation/internal/core/medicines/seed.go", "Go", 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 5, 50
"/home/ali/repos/Automation/internal/core/medicines/service.go", "Go", 0, 0, 0, 0, 0, 0, 67, 0, 0, 4, 18, 89
"/home/ali/repos/Automation/internal/core/militarydetails/model.go", "Go", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"/home/ali/repos/Automation/internal/core/militarydetails/repo.go", "Go", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 11, 49
"/home/ali/repos/Automation/internal/core/militarydetails/seed.go", "Go", 0, 0, 0, 0, 0, 0, 75, 0, 0, 1, 9, 85
"/home/ali/repos/Automation/internal/core/militarydetails/service.go", "Go", 0, 0, 0, 0, 0, 0, 75, 0, 0, 4, 10, 89
